	value
interest_rate	0.01
sigma	0.15721008127024574
taste_shock_scale	1.0966242697158703
beta	0.90535854
rho	0.50092644
gamma	[0.82253966 1.5360604  1.93859858 1.25922689]
beta0	-6.896104044649039
beta1	0.027168298835917603
beta2	-0.0001768093349215613
kappa1	0.01531974
kappa2	0.00216552
phi	0.94614399
alpha1	0.000417
alpha2	0.099277
b_scale	1.2133177
xi	0.26926199
eta_edu	0.43848
