	value
interest_rate	0.01
sigma	0.336434797
taste_shock_scale	1.53893135
beta	0.983346704
rho	0.4549787
gamma	[0.74983436 1.45028143 1.89887675 1.695886  ]
kappa1	0.0232678405
kappa2	0.000640643531
phi	2.94930837
b_scale	0.821471016
xi	0.338026425
eta_edu	0.69164
alpha1	0.000417
alpha2	0.099277
beta0	-7.345297182291485
beta1	0.05220790715541536
beta2	-0.00039990127757635316
