	value
interest_rate	0.01
sigma	0.2
taste_shock_scale	2.4
beta	0.9862761291459945
rho	0.4546033105783697
gamma	[0.6436928  1.3013253  1.95873805 1.65679825]
kappa1	0.009068366633740818
kappa2	0.001434998756969184
phi	5.711828977972858
b_scale	0.5496627563003196
xi	0.008433463067153925
eta_edu	1.10158
alpha1	0.000417
alpha2	0.099277
beta0	-7.7211014099165185
beta1	0.07418311839644762
beta2	-0.0005894472446704196
